"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"20445",1438515920,0.152231,880999500,0,0,2015-08-02 11:45:20,"li28_31",0.281387,0.131836,0.215287,0.212742914772727,900,0.15,15,"aug_2015"
"20621",1438516825,0.196529,712193323,0,0,2015-08-02 12:00:25,"li28_31",0.307617,0.131836,0.201383,0.203734071428571,900,0.15,15,"aug_2015"
"20789",1438517730,0.206122,561112979,0,0,2015-08-02 12:15:30,"li28_31",0.288169,0.124296,0.210754,0.212096355029586,900,0.15,15,"aug_2015"
"20958",1438518635,0.175781,399309343,0,0,2015-08-02 12:30:35,"li28_31",0.277935,0.14575,0.201383,0.200298429378531,900,0.15,15,"aug_2015"
"21135",1438519540,0.181191,243172728,0,0,2015-08-02 12:45:40,"li28_31",0.277935,0.138967,0.2037525,0.203005126506024,895,0.15,15,"aug_2015"
"21301",1438520445,0.206122,77336814,0,0,2015-08-02 13:00:45,"li28_31",0.281387,0.116268,0.2037525,0.204600377906977,899,0.15,15,"aug_2015"
"21473",1438521349,0.219727,925490628,0,0,2015-08-02 13:15:49,"li28_31",0.284798,0.14575,0.224078,0.221533217142857,900,0.15,15,"aug_2015"
"21648",1438522254,0.201383,764533534,0,0,2015-08-02 13:30:54,"li28_31",0.316894,0.14575,0.219727,0.2218352,900,0.15,15,"aug_2015"
"21823",1438523159,0.196529,610011597,0,0,2015-08-02 13:45:59,"li28_31",0.328857,0.124296,0.2130205,0.215483662921348,900,0.15,15,"aug_2015"
"22001",1438524064,0.215287,440453274,0,0,2015-08-02 14:01:04,"li28_31",0.281387,0.138967,0.2130205,0.213885276470588,900,0.15,15,"aug_2015"
"22171",1438524969,0.186444,288143759,0,0,2015-08-02 14:16:09,"li28_31",0.304462,0.14575,0.215287,0.214369457142857,900,0.15,15,"aug_2015"
"22346",1438525874,0.240698,118315845,0,0,2015-08-02 14:31:14,"li28_31",0.307617,0.138967,0.210754,0.215780138888889,899,0.15,15,"aug_2015"
"22526",1438526778,0.248592,965942002,0,0,2015-08-02 14:46:18,"li28_31",0.288169,0.138967,0.215287,0.216725835294118,895,0.15,15,"aug_2015"
"22697",1438527683,0.210754,809605591,0,0,2015-08-02 15:01:23,"li28_31",0.304462,0.131836,0.215287,0.219519566473988,900,0.15,15,"aug_2015"
"22870",1438528588,0.206122,656301091,0,0,2015-08-02 15:16:28,"li28_31",0.304462,0.152231,0.224078,0.226996676136364,900,0.15,15,"aug_2015"
"23046",1438529493,0.196529,501705820,0,0,2015-08-02 15:31:33,"li28_31",0.31074,0.131836,0.228347,0.227421676300578,900,0.15,15,"aug_2015"
"23219",1438530398,0.240698,341952809,0,0,2015-08-02 15:46:38,"li28_31",0.31074,0.138967,0.232537,0.230650843930636,900,0.15,15,"aug_2015"
"23392",1438531303,0.313832,184752446,0,0,2015-08-02 16:01:43,"li28_31",0.322931,0.138967,0.232537,0.230517147928994,895,0.15,15,"aug_2015"
"23561",1438532213,0.164428,36788987,0,0,2015-08-02 16:16:53,"li28_31",0.334678,0.14575,0.232537,0.23012172,899,0.15,15,"aug_2015"
"23736",1438533117,0.206122,894159126,0,0,2015-08-02 16:31:57,"li28_31",0.288169,0.138967,0.215287,0.212965528735632,900,0.15,15,"aug_2015"
"23910",1438534022,0.206122,813122751,0,0,2015-08-02 16:47:02,"li28_31",0.313832,0.158447,0.228347,0.228544087209302,900,0.15,15,"aug_2015"
"24082",1438534928,0.201383,422586546,0,0,2015-08-02 17:02:08,"li28_31",0.288169,0.131836,0.219727,0.21814648,899,0.15,15,"aug_2015"
"24257",1438535832,0.215287,415591734,0,0,2015-08-02 17:17:12,"li28_31",0.316894,0.14575,0.228347,0.227768145348837,900,0.15,15,"aug_2015"
"24429",1438536737,0.228347,261692061,0,0,2015-08-02 17:32:17,"li28_31",0.33755,0.131836,0.210754,0.209194116959064,900,0.15,15,"aug_2015"
"24600",1438537642,0.248592,101682134,0,0,2015-08-02 17:47:22,"li28_31",0.33178,0.152231,0.228347,0.226973390804598,899,0.15,15,"aug_2015"
"24774",1438538546,0.181191,948997695,0,0,2015-08-02 18:02:26,"li28_31",0.346026,0.152231,0.236653,0.235121370165746,900,0.15,15,"aug_2015"
"24955",1438539451,0.236653,794364453,0,0,2015-08-02 18:17:31,"li28_31",0.322931,0.124296,0.224078,0.223313341040462,900,0.15,15,"aug_2015"
"25128",1438540356,0.175781,634027065,0,0,2015-08-02 18:32:36,"li28_31",0.325907,0.14575,0.219727,0.222741621468927,900,0.15,15,"aug_2015"
